0,Czarlin,ul. Starogardzka
1,Czarlin,ul. Sadowa
2,Czarlin,ul. Spacerowa
3,Czarlin,ul. Tczewska
4,Czarlin,ul. Gniewska
5,Czarlin,ul. Krotka
6,Czarlin,ul. Prosta
7,Czarlin,ul. Sloneczna
8,Czarlin,ul. Dworcowa
9,Czarlin,ul. Lesna
10,Czarlin,ul. Szkolna
11,Czarlin,ul. Za Torami
12,Czarlin,ul. Lipowa
13,Czarlin,ul. Narkowska
14,Czarlin,ul. Klonowa
15,Czarlin,ul. Malborska
16,Rokitki,ul. Kolejowa
17,Rokitki,ul. Swierkowa
18,Rokitki,ul. Brzozowa
19,Rokitki,ul. Cyprysowa
20,Rokitki,ul. Tczewska
21,Rokitki,ul. Krotka
22,Rokitki,ul. Sloneczna
23,Rokitki,ul. Lesna
24,Rokitki,ul. Skarszewska
25,Rokitki,ul. Kasztanowa
26,Rokitki,ul. Jesionowa
27,Rokitki,ul. Piekna
28,Rokitki,ul. Kwiatowa
29,Rokitki,ul. Polana Lesna
30,Rokitki,ul. Nowa
31,Rokitki,ul. Makowa
32,Rokitki,ul. Czeresniowa
33,Rokitki,ul. Wisniowa
34,Lisewo Malborskie,ul. Marca 10
35,Lisewo Malborskie,ul. Niepodleglosci
36,Lisewo Malborskie,ul. Braterska
37,Lisewo Malborskie,ul. Kolejowa
38,Lisewo Malborskie,ul. Wyzwolenia
39,Lisewo Malborskie,ul. Robotnicza
40,Lisewo Malborskie,ul. Jana Pawla II
41,Baldowo,ul. Dluga
42,Baldowo,ul. Wojciecha sw.
43,Baldowo,ul. Zlote Lany
44,Baldowo,ul. Milosza Czeslawa
45,Baldowo,ul. Spokojna
46,Baldowo,ul. Stenclowka
47,Baldowo,ul. Na Wzgorzu
48,Baldowo,ul. Mila
49,Baldowo,ul. Piekna
50,Baldowo,ul. Sloneczna
51,Baldowo,ul. Stanislawa
52,Baldowo,ul. Boczna
53,Baldowo,ul. Gospodarcza
54,Baldowo,ul. Wspolna
55,Baldowo,ul. Malborska
56,Zajaczkowo,ul. Brzozowa
57,Zajaczkowo,ul. Ogrodowa
58,Zajaczkowo,ul. Malinowa
59,Zajaczkowo,ul. Lisia
60,Tczew,ul. Akacjowa
61,Tczew,ul. Chelmonskiego Jozefa
62,Tczew,Armii Czerwonej
63,Tczew,ul. Baczynskiego Krzysztofa Kamila
64,Tczew,ul. Brzechwy Jana
65,Tczew,ul. Czyzykowska
66,Tczew,ul. Fabryczna
67,Tczew,ul. Fredry Aleksandra
68,Tczew,ul. Iwaszkiewicza Jaroslawa
69,Tczew,ul. Jaworowa
70,Tczew,ul. Jodlowa
71,Tczew,ul. Kozia
72,Tczew,ul. Krotka
73,Tczew,ul. Broniewskiego Wladyslawa
74,Tczew,ul. Elzbiety
75,Tczew,ul. Gdanska
76,Tczew,ul. Kapitanska
77,Tczew,ul. Kaszubska
78,Tczew,ul. Lipowa
79,Tczew,ul. Mieszka I
80,Tczew,ul. Nowowiejska
81,Tczew,ul. Pomorska
82,Tczew,ul. Przemyslawa II
83,Tczew,ul. Skarszewska
84,Tczew,ul. Skromna
85,Tczew,ul. Stanislawskiego Jana
86,Tczew,ul. Strzelecka
87,Tczew,ul. Suchostrzycka
88,Tczew,ul. Wladyslawa Jagielly
89,Tczew,ul. Za Portem
90,Tczew,ul. Zulawska
